worker	sentence	workeranswer
aggworker2	#0616	Those who require caregiving can utilize external caregiving insurance services.
aggworker62	#0616	If you need nursing care, you can apply for external nursing care insurance services.
aggworker29	#0616	If you are a caregiver, you can use outside long-term care insurance services.
aggworker100	#0635	I don't have time to comment
aggworker2	#0635	I'm not good at writing comments, so I find it difficult to write them.
aggworker93	#0635	I can say nothing.
aggworker29	#0635	 It is difficult to write comments.
aggworker60	#0635	It is hard to come up with a comment.
aggworker55	#0370	He will propose a business system for the company.
aggworker39	#0370	He will propose business systems for enterprises.
aggworker4	#0370	He will propose business systems for enterprises.
aggworker69	#0370	He will propose a business system for the company.
aggworker12	#0370	He will suggest a proposal about business system for companies.
aggworker100	#0469	He looked out the cafe window.
aggworker21	#0469	He looked out through the window of the cafe.
aggworker73	#0469	He looked outside through the café's window glass.
aggworker16	#0469	He saw the outside through the window in a cafe.
aggworker60	#0469	He looked out through the window at the cafe.
aggworker50	#0746	here are time limits for both labor and management.
aggworker14	#0746	Both labor and management receive restriction of period.
aggworker25	#0746	Both labor and managers are subject to time limits.
aggworker9	#0746	Both workers and employers have limited time.
aggworker12	#0746	Both labor and management received restriction periods.
aggworker56	#0302	We have many achievements in business system development.
aggworker17	#0302	We have extensive experience in business system development.
aggworker82	#0302	We have accomplished a lot to develop our business structure.
aggworker62	#0302	Our company has a track record of improving business improvement systems.
aggworker32	#0302	We have a lot of experience in developing business systems.
aggworker12	#0320	He expresses his opinions to his teachers and friends without hesitation.
aggworker82	#0320	He expresses his opinion clearly to his teachers and friends.
aggworker4	#0320	He says his opinion clearly to teachers and friends.
aggworker9	#0320	He makes his opinions clear to his teachers and friends.
aggworker60	#0320	He makes his opinions clear to his teachers and friends.
aggworker17	#0141	Yesterday, four people reported their award to Mayor Yamada.
aggworker53	#0141	Yesterday, 4 people reported their achieving awards to Mayor Yamada.
aggworker8	#0141	Yesterday, four people reported their award to Mayor Yamada.
aggworker4	#0141	Yesterday, 4 people reported to mayer Yamada about their awards.
aggworker87	#0141	Yesterday, four people reported their award to Mayor Yamada.
aggworker91	#0540	Japan boasts cutting-edge technology.
aggworker2	#0540	Japan has advanced technology.
aggworker101	#0540	Japan has cutting-edge technology.
aggworker14	#0540	Japan has cutting edge technology.
aggworker69	#0540	Japan has some cutting-edge technologies.
aggworker73	#0327	He regularly checks medication adherence for blood pressure management.
aggworker60	#0327	 He performs regular blood pressure and medication management checks.
aggworker74	#0327	He regularly checks blood pressure control and medication status.
aggworker6	#0327	He periodically examines blood pressure control and medication situation.
aggworker12	#0327	He regularly checks blood pressure control and medication situation.
aggworker6	#0728	2707 articles were designated important tangible folk cultural properties.
aggworker55	#0728	2707 items were specified as the important tangible folk cultural properties.
aggworker85	#0728	2707 items have been designated as nationally important tangible folk cultural properties.
aggworker82	#0728	2707 items have been designated as important tangible folk cultural properties.
aggworker63	#0728	The 2707 items have been designated as the important specific folk cultural assets of the country.
aggworker2	#0555	It had a long history of 90 years.
aggworker6	#0555	It had a long history of 90 years ago
aggworker21	#0555	It had a history of 90 years.
aggworker14	#0555	It had a history of 90 years.
aggworker56	#0555	It has a history of 90 years.
aggworker8	#0737	56% of the company received financing from other sources.
aggworker15	#0737	56% of corporations received loans.
aggworker16	#0737	56% of companies received loans for funds.
aggworker45	#0737	56% of businesses receive financing.
aggworker25	#0737	56% of companies have received financing.
aggworker69	#0196	More than 15 million people travel overseas.
aggworker17	#0196	More than 15 million people travel abroad.
aggworker38	#0196	More than 15 million people travel abroad.
aggworker32	#0196	More than 15 million people travel abroad.
aggworker60	#0196	 More than 15 million people travel abroad.
aggworker39	#0718	At first,he accept request of the job
aggworker35	#0718	He first receives a job offer from the company.
aggworker87	#0718	First, he receives a job request from the company.
aggworker12	#0718	He receives a job offer from the company first.
aggworker32	#0718	He first receives a job offer from the company.
aggworker49	#0601	You can easily make hotel reservations from Japan in Japanese.
aggworker62	#0601	You can make hotel reservations in Japanese from Japan.
aggworker60	#0601	You can make hotel reservations in Japan using Japanese.
aggworker17	#0601	You can easily book hotels from Japan in Japanese.
aggworker6	#0601	you can  easily reserve the hotel in Japanese from Japan
aggworker84	#0271	There are various encoding methods.
aggworker25	#0271	There are several types of encoding methods.
aggworker6	#0271	There are several types of  encoding methods
aggworker49	#0271	There are various types of encoding methods.
aggworker38	#0271	 There are several kinds of encoding methods.
aggworker32	#0428	He saw the latest news for the first time in a while.
aggworker61	#0428	He watched the latest news after a long time.
aggworker14	#0428	He watched the latest news for the first time in a while
aggworker12	#0428	It had been a while since he watched the latest news .
aggworker94	#0428	He hadn't seen the recent news for a long time.
aggworker2	#0334	He is continuously working on improving the blog system.
aggworker85	#0334	He will continue to improve the blog system.
aggworker4	#0334	He continuously improves a blog system.
aggworker62	#0334	He is in charge of updating the blog system
aggworker82	#0334	He is constantly improving his blogging strategy.
aggworker90	#0676	He was on his way home from work and had just exited the ticket gate at his local station.
aggworker92	#0676	He left the ticket gate at the local station on the way home after work.
aggworker73	#0676	He went through the ticket gate at his local station on his way back from work.
aggworker14	#0676	He left a ticket gate at the local station on the way home from the office.
aggworker25	#0676	He exited the ticket gate at the local station on his way home from work.
aggworker4	#0297	 There are two types of reduction and exemption systems for national health insurance tax.
aggworker49	#0297	There are two types of National Health Insurance tax reduction/exemption systems.
aggworker38	#0297	  There are two systems in tax reduction system of national insurance.
aggworker61	#0297	There are two types of reduction and exemption systems for National health insurance tax.
aggworker25	#0297	There are two types of tax reduction systems for National Health Insurance tax.
aggworker17	#0333	He made traditional toys with me.
aggworker41	#0333	He made an old toy with me.
aggworker23	#0333	I made some old-fashioned toys with him.
aggworker55	#0333	I made old toys with him.
aggworker6	#0333	He created old toys together
aggworker6	#0189	The deadline for submitting the plan within one year.
aggworker29	#0189	As a general rule, the submission deadline is within one year.
aggworker9	#0189	The deadline for submitting design plans is generally within one year.
aggworker49	#0189	In principle, the deadline for proposals is within one year.
aggworker102	#0189	In principle, the deadline for submitting the plan is within one year.
aggworker3	#0106	We will reset the product to the factory default settings.
aggworker25	#0106	Reset product settings to factory defaults.
aggworker73	#0106	Reset the product settings to factory default at the time of shipment.
aggworker85	#0106	Restore the product to factory settings.
aggworker63	#0106	Reset the product to factory settings.
aggworker39	#0649	 I almost have no symptoms of hay fever.
aggworker56	#0649	I have almost no symptoms of hay fever.
aggworker6	#0649	I have almost no symptoms of hay fever.
aggworker2	#0649	I hardly have any symptoms of hay fever.
aggworker85	#0649	I hardly have symptoms of hay fever.
aggworker49	#0049	Transfer time has been reduced to 1 second.
aggworker2	#0049	You reduced the transfer time to 1 second.
aggworker98	#0049	You changed the transfer time into 1 second.
aggworker25	#0049	You have changed the transfer time to 1 second.
aggworker61	#0049	You have changed the transfer time to 1 second.
aggworker34	#0352	Our company makes original embroidered badges, and manufactures and sells embroidered goods.
aggworker56	#0352	Our company produces and sells original embroidered patches and embroidery products.
aggworker17	#0352	Our company manufactures and sells original embroidered patches and embroidered products.
aggworker99	#0352	Our company produce and sell original embroidered patches.
aggworker103	#0352	Our company produce and sell original embroidery patches and embroidery products.
aggworker82	#0612	When I got there just before 11 o'clock, about 30 people had already gathered.
aggworker49	#0612	When I went there just before 11am, there was already a line of about 30 people.
aggworker0	#0612	When I arrived at the store just before 11am, there were already about 30 people in line.
aggworker32	#0612	When I arrived at the store just before 11am, there were already about 30 people in line.
aggworker9	#0612	When I arrived at the store before 11:00 a.m., there were already nearly 30 people in line.
aggworker56	#0290	This page contains two pieces of information.
aggworker39	#0290	There are two pieces of information on this page.
aggworker104	#0290	This page contains two pieces of information
aggworker100	#0290	This page has two pieces of information
aggworker49	#0290	This page contains two pieces of information.
aggworker38	#0592	Not everyone has a mobile phone.
aggworker2	#0592	Not everyone, but many people have mobile phones.
aggworker21	#0592	Not everyone has a cell phone.
aggworker90	#0592	Not everyone has a mobile phone.
aggworker87	#0592	Not everyone has a cell phone.
aggworker17	#0373	The controller will promptly delete personal information.
aggworker54	#0373	The administrator deletes personal information as soon as possible.
aggworker4	#0373	The administrator will promptly delete personal information.
aggworker19	#0373	The administrator will delete the personal information as soon as possible.
aggworker12	#0373	The administrator will immediately delete all personal information.
aggworker85	#0230	Someone was sounding the alarm.
aggworker55	#0230	The person who had seen it warned.
aggworker4	#0230	A man who was seeing it warned.
aggworker60	#0230	 Those who watched advised him against it.
aggworker27	#0230	The person who saw it warned him about it.
aggworker23	#0551	I have a child of the same age.
aggworker38	#0551	I have a child of the same age.
aggworker62	#0551	I have children around the same age
aggworker56	#0551	I have children around the same age.
aggworker85	#0551	I have a child of the same age.
aggworker44	#0371	The Education Rebuilding Council has announced seven proposals.
aggworker32	#0371	The education reform committee has proposed seven proposals.
aggworker12	#0371	The education rebuilding  committee proposes 7 plans.
aggworker9	#0371	The Education Revitalization Council presented seven recommendations.
aggworker16	#0371	The education rebuilding committee has made seven proposals.
aggworker41	#0307	He clearly told me what he is going to do.
aggworker74	#0307	he said clearly what he was going to do
aggworker39	#0307	 He told me clearly what he is going to do.
aggworker62	#0307	He clearly told me what he was going to do to me right here.
aggworker4	#0307	He told me clearly what he was going to do.
aggworker55	#0583	Not all people have their own website.
aggworker56	#0583	Not everyone has their own website yet.
aggworker3	#0583	Not everyone still has their own websites.
aggworker14	#0583	Not all people have their own website
aggworker69	#0583	Not all people have their own websites yet.
aggworker4	#0688	A person who have gone through passive life goes out into the society.
aggworker85	#0688	People who have lived passive lives enter society.
aggworker49	#0688	People who have lived passive lives up until now are entering society.
aggworker9	#0688	People who have lived a passive life go out into the society.
aggworker17	#0688	People who have led passive lives are entering society.
aggworker99	#0360	We will provide a variety of  service for our employees.
aggworker85	#0360	We provide a variety of support services for our employees.
aggworker100	#0360	We provide the following services for our employees.
aggworker14	#0360	We will provide the following services for our employees
aggworker12	#0360	We offer varieties of services for the employees.
aggworker21	#0719	I have been asked the same question by many people.
aggworker62	#0719	We received questions from many people.
aggworker9	#0719	I got the same question from many people.
aggworker29	#0719	I get that question from many people.
aggworker56	#0719	I have received questions from many people.
aggworker62	#0494	This variety has excellent sweetness and sourness.
aggworker49	#0494	This type has an exquisite balance of sweetness and sourness.
aggworker74	#0494	This is the optimal distribution of sweetness and sourness.
aggworker60	#0494	This variety has the best balance of acidity and sweetness.
aggworker90	#0494	The type with the best balance of sweetness and sourness
aggworker93	#0342	It have to discuss before we get start.
aggworker6	#0342	We need to discuss it beforehand
aggworker23	#0342	Advance discussion is required.
aggworker41	#0342	We need to have prior discussion.
aggworker85	#0342	We must discuss this in advance.
aggworker105	#0422	Last night, he had a dream of the past.
aggworker53	#0422	Last night, he had an old dream after a long time.
aggworker32	#0422	He had a dream last night that he hadn't had in a long time.
aggworker25	#0422	Last night he had an old dream for the first time in a while.
aggworker45	#0422	Last night he had an old dream for the first time in a long time.
aggworker62	#0624	We cannot respond to anonymous requests.
aggworker23	#0624	If you're anonymous, we can't handle anything beyond that.
aggworker53	#0624	With anonymity, it is not possible to take care of it later.
aggworker25	#0624	Anonymous users will not receive any after support.
aggworker9	#0624	If you are anonymous, no further support will be provided.
